recommendationid,appid,game,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
90531184,1057640,Onirism,76561198008886218,0,34,743,0,623,1652088681,french,"25 avril 2023, dernier essai pour ma part. ça se lance beaucoup plus vite, mais ça lag et ouvrir le menu provoque un freeze. Lors du développement d'un jeu, cela arrive que le studio change son idée de départ pour toucher une communauté plus large. Ici, il s'agit du multijoueur et des événements réguliers tout au long de l'année.  Si j'ai voulu réessayer encore et encore, c'est parce que les débuts du jeu m'ont vraiment plu. Sauf que vue la tournure, je préfère rester sur la dizaine d'heures de fun d'il y a 2 / 3 ans.  Je laisse mon avis précédent :  J'ai vraiment accroché à ce jeu, c'est mignon, la jouabilité est plutôt bonne et c'est vraiment un jeu sur lequel j'avais de bons espoirs. L'héroïne qui sors des répliques de films d'action, l'humour, la difficulté parfois très corsée.  Vue qu'à l'époque (plus d'un an), j'avais atteint la fin du scénario implémenté et que les événements ne me plaisais pas du tout. Que les bugs et temps de chargement étaient chiant, j'ai désinstallé le jeu en attendant qu'il soit terminé.  Aujourd'hui je l'ai réinstallé et testé à nouveau. C'est toujours en accès anticipé, mais j'étais curieux de l'avancée du jeu et j'avais vraiment envie d'y rejouer.  Un message sur l'écran de chargement prévient que l'écran peut paraître figer. OK, c'est bien de prévenir. Sauf qu'il y a un autre écran de chargement derrière. J'arrive enfin au menu et sélectionne nouvelle partie.  D'ailleurs, je soupçonne l'introduction d'avoir été changée, en plus elle c'est lancée avec le son de l'écran de chargement. Bref, plus 15 minutes et j'attendais encore de pouvoir jouer.  Ce problème de lancement / chargement était déjà existant il y a plus d'un an ! Il fallait lancé le jeu deux fois pour espérer jouer. Et là c'est pire !  Alors la situation sanitaire a pénalisée pas mal de studios, ça je peut le comprendre et toléré. Mais le chargement, la sauvegarde, c'est quand même des basiques. On boss pas sur des événements saisonniers quand la base du jeu n'est pas correcte.  Voilà pourquoi je le déconseille mais en l'état d'accès anticipé. A voir quand il sera terminé",1618762656,1682438029,0,3,0,0.530769228935242,0,1,0,1,0,""
90040485,1057640,Onirism,76561198401601397,0,13,449,0,413,1630040435,english,"its a very cute game,but some times repetitive.",1618022993,1618022993,1,0,0,0.0,0,1,0,1,0,""
89719694,1057640,Onirism,76561198132188006,0,1,29,0,29,1617463466,french,"Malheureusement je n'ai pas accroché au type de Gameplay et à l'histoire qui est très enfantine. Mais je comprends qu'il puisse y avoir un public qui aime. En vous souhaitant le meilleur.",1617560468,1617560468,1,0,0,0.0,0,1,0,1,0,""
89474627,1057640,Onirism,76561198014564720,0,86,228,0,204,1690695588,english,"This game is truly a hidden gem. Maybe the most underrated game on steam. Instabuy if you like 3d platform games. even if it is in early access for me is a 10/10",1617248579,1617248579,1,0,0,0.0,0,1,0,1,0,""
88699357,1057640,Onirism,76561198371903081,0,25,178,0,30,1682555047,english,"More People need to play this game!!!  It's A Hat in Time, but actually good, plus Ratchet & Clank-style gunplay. Sure, it's unfinished as of me writing this review, but it's far more impressive than most Early Access Indies I've recently seen.  Get this game and support the Devs, this is going places!  UPDATE: Devs are still passionate with frequent large Updates. Please get this working on Steam Deck, though!",1616152174,1682635795,1,2,0,0.446456044912338,0,1,0,1,0,""
88445223,1057640,Onirism,76561198043808988,0,14,4432,27,344,1698244961,english,"The game is quite rough at the moment, but even in it's unfinished state it is cute and funny.  *post GIGA MEGA Update+* The roughness has been smoothed out. Performance is much better than before and visuals are not as blurry or bloomy.",1615752236,1629915767,1,14,8,0.627363741397858,0,1,0,1,0,""
87384382,1057640,Onirism,76561199129807041,0,2,11816,72,1399,1698202927,spanish,"divertido, con muchos heaster eggs por doquier para encontrar. combates emosionantes y acertijos que te quebrarán la cabeza.",1614213534,1614213534,1,1,0,0.0,0,1,0,1,0,""
87376034,1057640,Onirism,76561198254469387,0,42,203,0,134,1692920486,french,"Très bon jeu, mais j'attends vraiment que le mode solo (= la campagne) d'ONIRISM soit finit pour me lancer à corps perdu dans cette épopée. Vivement que le jeu sorte pour de bon, car beaucoup de gens attendent sa sortie définitive pour l'acheter et se lancer dedans. Et une fois les joueurs présents sur ONIRISM, on pourra s'attarder sur les ""events"" et modes multis. Mais d'abord finir le solo.. Bon courage à l'équipe de développement !! Des bisous",1614201340,1614203129,1,0,0,0.0,0,1,0,1,0,""
87057763,1057640,Onirism,76561198068880344,0,9,2161,0,194,1687806912,brazilian,"entre ",1613777569,1613777569,1,0,0,0.0,0,1,1,1,0,""
86606598,1057640,Onirism,76561197987140501,0,8,921,0,921,1611773347,english,"Occasionally the game's indie side will show with the platforming and lighting being slightly jank and the level design a bit confusing, but not enough that it will really ruin your experience.  Difficulty for the most part range from easy to medium, but occasionally the game will decide to amp it the fuck up and lock you in a small area with huge hordes of enemies that you must defend yourself against. Overall a good game with fun weapons and charming world building. The french knows how to make cute and funny experiences.",1613287359,1613287359,1,4,0,0.555229723453522,0,1,0,1,0,""
86043262,1057640,Onirism,76561197986006376,0,2,238,0,120,1612589489,english,"pretty good game underneath all the UUUOOOOOHHHH Memes, it's like Splatoon 2 mixed with Quake 2. Pros: French Quakelike mixed with splatoon decent singleplayer  Cons: French no (proper) multiplayer not finished",1612579897,1612579897,1,13,5,0.618941903114319,1,1,0,1,0,""
85920294,1057640,Onirism,76561198359609032,0,2,624,0,140,1671732738,english,"This game has such potential, and i'm looking forward to everything it has to offer! I genuinely hope this game gets more attention because I feel like it's something special. You can tell that the makers of this game are incredibly passionate through the art direction, the amazing soundtrack, the UI. Every aspect of this game was made with love, and I just want the creators to get the recognition this game deserves.",1612410347,1612410347,1,0,0,0.0,0,1,0,1,0,""
85481855,1057640,Onirism,76561197989657776,2471,4,212,0,67,1669237912,french,"Que dire sur ce jeu ? J'VEUX MON DOUDOU !!!! Ce TPS est sympathique, coloré, correct niveau graphisme, des armes assez drôle, un peu d'humour par-ci par la (Déjà on joue une jeune fille qui veut récupérer son Doudou, ça met dans l'ambiance). A noter que le jeu est entièrement doublé en français (chose rare de nos jours) et que l'on savoure les punchlines de la petite Carol (petit bémol on les entend assez souvent j'ai peur qu'a la longue cela soit agaçant)  Pour le moment c'est du tout bon, mais je me réserve le droit de modifier cette évaluation après la sortie du jeu (Early acces va-t-elle aller jusqu'au bout ?, etc ...)  Pour vous faire une idée j'ai réalisé un gameplay d'1h sur le jeu : https://www.youtube.com/watch?v=a4m2s-d-uBY",1611813941,1611813941,1,3,0,0.547038316726685,0,1,0,1,0,""
85094368,1057640,Onirism,76561197991315190,309,6,311,0,311,1611244051,french,"Non, juste non.  Je pense que les devs ont pas compris qu'on est plus en 1991 et que faire un jeu avec une difficulté de gros fils de p*te ça marche plus de nos jours.  Pourquoi ? Et bien c'est simple... En 1991, j'avais 4 jeux sur ma nes, et donc pas trop le choix de perséverer. En 2021 il se trouve que j'ai plus de 500 jeux steams.  Recommencer 40'000 fois le même passage parce que ces CONNARDS de devs se sont dit ""oh lol on va mettre un passage qui donne l'impression d'être la suite du jeu alors qu'en fait c'est un vieux boss rush pour un item de merde dont le joueur à rien à foutre"" ça me donne pas envie de continuer. Le jeu qui redonne 0 point de vie après un combat de boss particulièrement ardu mais qui fait repop tout les ennemis de la zone dès que t'as le malheur d'éternuer, c'est pas non plus ce qui se fait de mieux.  Alors maintenant, pourquoi on se souvient de jeux comme super mario bros 3 par exemple (qui est je le rappelle un enfer sans nom dans le monde 8) et pourquoi on ne se souviendra pas de ce tas de fiente ?  Je sais pas perso... Sans doute parce que le jeu n'a pas d'âme, et n'en auras sans doute jamais. Inviter des célébrités de youtube comme Bob Lennon pour faire les voix c'est cool hein, mais engager des béta testeurs pour dire ce qui va pas dans vos niveaux finis à la pisse, ce serait mieux.  Prendre des cours de level design serait une idée aussi. Un jeu de plate-forme c'est pas censé être le truc ou je me demande constamment si je suis dans la  bonne direction.  Et pour l'amour de dieu, des checkpoints ça vous tuerait ? Un checkpoint à tuer vos parents pour que vous soyez allergique à ce point à ces derniers ?  La seule raison qui fait que je ne peux pas demander le remboursement de ce gros tas de merde, c'est parce que on me l'a offert. Si un jour le jeu est finit peut-être que je lui redonnerais une chance... Mais vu que le développement a l'air d'être perdu dans les limbes, ça risque pas d'arriver.  Je déconseille complètement, à moins que vous cherchiez un espèce de dark soul sous forme de jeu d'aventure. Les autres passer votre chemin.  Allez a+.",1611244637,1611244637,0,3,3,0.369349002838135,0,0,0,1,0,""
84773092,1057640,Onirism,76561198083069638,153,4,736,0,283,1661954785,russian,"Великолепная игра! Разработчики действительно знают толк в играх.",1610781189,1610781189,1,2,0,0.545454561710358,0,1,0,1,0,""
